taxon,group
Aphanizomenon,Aphanizomenon
Aphanocapsa,Cyanobacteria
Aphanothece,Aphanothece
Asterionella,Bacillariophyta
Chalmydomonas,Chlorophyta
Coelastrum,Chlorophyta
Cosmarium,Chlorophyta
Cryptomonas,Cryptophyta
Desmodesmus,Chlorophyta
Dolichospermum,Dolichospermum
Elakatothrix,Chlorophyta
Eudorina,Chlorophyta
Euglena,Euglenophyta
Fragilaria,Bacillariophyta
Komma,Cryptophyta
Mallomonas,Chrysophyta
Merismopedia,Cyanophyta
Monoraphidium,Chlorophyta
Microcystis,Microcystis
Microcystis_Single,Microcystis
Oocystis,Chlorophyta
Pediastrum,Chlorophyta
Planktolyngbya,Cyanophyta
Pseudanabaena,Cyanophyta
Schroederia,Chlorophyta
Snowella,Cyanophyta
Staurastrum,Chlorophyta
Stephanodiscus,Bacillariophyta
Trachelomonas,Euglenophyta
Unknown chlorophyte,Chlorophyta
Unknwon pennate bacillariophyte,Bacillariophyta
Unknown centric bacillariophyte,Bacillariophyta
Woronichinia,Cyanophyta
