taxon,group,min_fsr,max_fsr
Alona,Chydoridae,0.4,2
Alonella,Chydoridae,0.4,2
Bosmina,Bosmina,1.4,5
Camptocercus,Chydoridae,0.4,2
Ceriodaphnia,Ceriodaphnia,0.4,7
Chydorus,Chydoridae,0.4,2
Daphnia,Daphnia,1.1,30
Daphnia.lumholtzi,Daphniid,1.1,30
Diaphanosoma,Diaphanosoma,0.25,5
Graptoleberis,Chydoridae,0.4,2
Leptodora,Leptodora,NA,NA
Moina,Daphniid,1.1,30
Pleuroxus,Chydoridae,0.4,2
Scapholeberis,Daphniid,1.1,30
Simocephalus,Daphniid,1.1,30
Calanoida,Calanoid,9.4,64
Cyclopoida,Cyclopoid,6.9,54.2
Nauplii,Nauplii,4.5,19.8
Anuraeopsis,Rotifer,0,75
Ascomorpha,Rotifer,0,75
Asplanchna,Rotifer,0,75
Asplanchnopus,Rotifer,0,75
Brachionus,Rotifer,0,75
Conochilus,Rotifer,0,75
Euchlanis,Rotifer,0,75
Filinia,Rotifer,0,75
Gastropus,Rotifer,0,75
Hexarthra,Rotifer,0,75
Kellicottia,Rotifer,0,75
Keratella.cochlearis,Rotifer,0,75
Keratella.quadrata,Rotifer,0,75
Lecane,Rotifer,0,75
Lepadella,Rotifer,0,75
Macrochaetus,Rotifer,0,75
Monostyla,Rotifer,0,75
Mytilina,Rotifer,0,75
Notholca,Rotifer,0,75
Platyias,Rotifer,0,75
Ploesoma,Rotifer,0,75
Polyarthra,Rotifer,0,75
Pompholyx,Rotifer,0,75
Synchaeta,Rotifer,0,75
Testudinella,Rotifer,0,75
Trichocerca,Rotifer,0,75
Trichotria,Rotifer,0,75
Ostracod,Ostracod,NA,NA
