"sampleid","doy","N_excrete_sum_d","P_excrete_sum_d","tow","N_areal","P_areal"
"G19041143410",143,3.89420631583127,1.12354106529616,6,23.3652378949876,6.74124639177695
"G19041150410",150,9.62938858615343,1.98217901838922,6,57.7763315169206,11.8930741103353
"G19041164410",164,4.55157915792122,1.18602711145109,6,27.3094749475273,7.11616266870655
"G19041171410",171,1.59305495933017,0.387470054362285,6,9.55832975598104,2.32482032617371
"G19041178410",178,0.988726765239878,0.222293789862752,6,5.93236059143927,1.33376273917651
"G19041192410",192,0.0710746390762443,0.0193119288655102,6,0.426447834457466,0.115871573193061
"G19041199410",199,0.475218144989867,0.119911588488887,6,2.8513088699392,0.719469530933321
"G19041206410",206,0.360071522253555,0.0881965461160538,6,2.16042913352133,0.529179276696323
"A19041211410",211,1.39513082280443,0.338800584987806,5.5,7.67321952542435,1.86340321743293
"G19041213410",213,0.0965569487417131,0.0203168383073083,6,0.579341692450279,0.12190102984385
"G19041220410",220,0.0291333328336756,0.00722878779358334,6,0.174799997002054,0.0433727267615001
"G19041227410",227,0.0983605329097575,0.0244965180119002,6,0.590163197458545,0.146979108071401
"G19041234410",234,0.333916919133039,0.0719543521255296,6,2.00350151479823,0.431726112753177
"G19041245410",245,1.86915063427195,0.397075959518082,6,11.2149038056317,2.38245575710849
"G19041251410",251,1.70731059786729,0.387133068418721,6,10.2438635872037,2.32279841051233
"G19041273410",273,2.0499751044234,0.492381569351071,6,12.2998506265404,2.95428941610643
