"doy","Nexc_mid","Pexc_mid","Nexc_lo","Pexc_lo","Nexc_hi","Pexc_hi"
143,4.07773460530704,0.538739267108277,1.52084808554189,0.0748411794272864,10.9374709125401,4.12126650469078
150,10.0832076888367,0.761900334728034,3.58336549661232,0.0958509656390389,28.3849324774081,6.45558647335459
164,4.76608847497278,0.422233107141202,1.75446949379609,0.0571360310595176,12.9566253404492,3.3247318570419
171,1.66813332652869,0.157814636526965,0.607783352856548,0.0208405281107925,4.57939407869259,1.27095860316025
178,1.0353240221047,0.0927372880619158,0.372490734523772,0.0119699803269856,2.87871467798337,0.765320138836486
192,0.0744242836191494,0.00609231565087685,0.0276549929088109,0.000833600924937079,0.200329832378802,0.0473059969541549
199,0.497614486170681,0.0366460474235742,0.182948892979081,0.00490547637228139,1.35381663764827,0.290982959953557
206,0.377041170291842,0.0285925717403208,0.137441083844945,0.00381156142627453,1.03564699228558,0.229223143120903
211,1.46088131282426,0.110636484024542,0.533212743649435,0.0146485349710745,4.00413616753805,0.889539928703191
213,0.101107537540135,0.00694007684455418,0.0360897442642769,0.000880342668699282,0.28340136917721,0.0583395728639167
220,0.0305063445100103,0.00234736029167832,0.0111788112440222,0.000312471697548724,0.0832690711477386,0.0187477439901336
227,0.102996122011307,0.00838436978501115,0.0377053996404926,0.00111827199640376,0.281490777131178,0.0669187183119526
234,0.349653938701409,0.0244215087887943,0.125350333007523,0.00311693028621293,0.975580552765913,0.203797462184332
245,1.95724098975361,0.159941709178056,0.699224882344348,0.0202696991479514,5.47892043566438,1.34282628121566
251,1.78777366741669,0.152779317997626,0.645197127426166,0.019742628124944,4.9538223369273,1.25697035226993
273,2.14658745463537,0.224625957685368,0.779652128877788,0.0295240786264869,5.91143545448151,1.81770320046277
