"doy","siteID","depthID","sampleDepth","SRP_ugL","TP_ugL","TN_mgL","NOx_mgL","microcystin_ugL","orgP_ugL","orgP_mol","TP_mol","SRP_mol","orgN_mgL","orgN_mol","TN_mol","NOx_mol","org_NP","total_NP","inorg_NP"
143,4,1,0.25,5.85,NA,NA,0.33,2.694,NA,NA,NA,1.89215369712625e-07,NA,NA,NA,2.42683797287652e-05,NA,NA,128.257972730351
150,4,1,0.25,4.4,81.25,5.96,1.44,5.455,76.85,2.48143364546335e-06,2.62350661930901e-06,1.42395866968034e-07,4.52,0.000322626695217702,0.000425410421127766,0.00010349750178444,130.016249198337,162.153362982485,726.829394617709
157,4,1,0.25,0,66.55,2.48,1.62,0.29,66.55,2.14885372941556e-06,2.14885372941556e-06,3.22893122376493e-10,0.86,6.13847251962884e-05,0.000177016416845111,0.000116345467523198,28.5662650537799,82.3771364341559,360321.912919343
164,4,1,0.25,0,57.75,3.72,1.3,10.52,57.75,1.86470778172425e-06,1.86470778172425e-06,3.22893122376493e-10,2.42,0.000172733761598858,0.000265524625267666,9.35046395431834e-05,92.6331531898984,142.394764407612,289583.868665239
171,4,1,0.25,0,72.5,NA,1.02,23.455,72.5,2.34097513722958e-06,2.34097513722958e-06,3.22893122376493e-10,NA,NA,NA,7.3518915060671e-05,NA,NA,227688.079942898
178,4,1,0.25,18.1,41.75,1.95,1.1,3.1855,23.65,7.63642234420407e-07,1.34807878592186e-06,5.8475944462383e-07,0.85,6.06709493219129e-05,0.000139186295503212,7.92291220556745e-05,79.4494418815917,103.24789393376,135.490110991951
192,4,1,0.25,34.75,224,1.59,0.2,36.64,189.25,6.11075234097514e-06,7.23280594123345e-06,1.12237649338069e-06,1.39,9.9214846538187e-05,0.000113490364025696,1.49892933618844e-05,16.2361098931976,15.6910561333741,13.3549601673636
199,4,1,0.25,98.55,263.7,1.48,0.1,20.615,165.15,5.33257991604779e-06,8.51469163706813e-06,3.18243461414272e-06,1.38,9.85010706638116e-05,0.000105638829407566,7.85153461812991e-06,18.4715601480972,12.4066535713019,2.46714719078209
206,4,1,0.25,187.7,313.55,4.58,0.04,13.17,125.85,4.06360994510817e-06,1.01243138521149e-05,6.06102680012916e-06,4.54,0.000324054246966453,0.000326909350463954,3.56887937187723e-06,79.7454114306797,32.2895314427321,0.588824218992264
211,4,1,0.25,169.35,340,1.48,0.04,NA,170.65,5.51017113335486e-06,1.09783661608008e-05,5.46851792056829e-06,1.44,0.000102783725910064,0.000105638829407566,3.56887937187723e-06,18.6534543887178,9.62245454927153,0.652622780745382
213,4,1,0.25,208.55,349.3,1.43,0.11,14.95,140.75,4.54472069744914e-06,1.12786567646109e-05,6.73425896028415e-06,1.32,9.42184154175589e-05,0.000102069950035689,8.56531049250535e-06,20.731398404844,9.04983210021552,1.27190096832034
220,4,1,0.25,174.35,334.45,5.08,0,19.025,160.1,5.16951888924766e-06,1.07991604778818e-05,5.62996448175654e-06,5.08,0.000362598144182727,0.000362598144182727,7.13775874375446e-07,70.1415648053657,33.5765122599463,0.126781594571046
227,4,1,0.25,201.65,306.65,4.56,0.21,8.635,105,3.39037778495318e-06,9.90151759767517e-06,6.51146270584437e-06,4.35,0.000310492505353319,0.000325481798715203,1.57030692362598e-05,91.5805037218314,32.8719103414637,2.41160395838028
234,4,1,0.25,216.55,350.63,4.59,0,15.755,134.08,4.32935098482402e-06,1.1321601549887e-05,6.99257345818534e-06,4.59,0.00032762312633833,0.00032762312633833,7.13775874375446e-07,75.6748823291921,28.9378781698602,0.102076278303507
245,4,1,0.25,NA,341.23,4.47,NA,9.33,NA,NA,1.10180820148531e-05,NA,NA,NA,0.000319057815845824,NA,NA,28.957654827375,NA
251,4,1,0.25,214.05,402.75,0.9154,0.04,NA,188.7,6.09299321924443e-06,1.30045205037133e-05,6.91185017759122e-06,0.8754,6.24839400428265e-05,6.53390435403283e-05,3.56887937187723e-06,10.2550483472514,5.02433315566473,0.516342119718947
273,4,1,0.25,NA,252.33,2.33,NA,12.5075,NA,NA,8.14756215692606e-06,NA,NA,NA,0.000166309778729479,NA,NA,20.4122135586413,NA
