"","inorganic.P","inorganic.N","P.excretion","N.excretion","zoop.N.P","temp","pH","TDS"
"143",-0.97026266296314,-0.297633834168709,1.09874137479539,0.711813531935903,0.723517096915065,-2.06962454950584,-1.43439019519611,1.79361663513807
"150",-0.985814752075165,1.72506140620232,2.51810073775178,2.81273034954741,-0.0724247976358033,-1.14587073400793,-0.87464660252131,1.76692616038385
"164",-0.991177541424139,1.46994669120057,1.20203305243978,0.952622907173121,0.484052900698964,-0.568173476563885,-0.829461899981345,0.32736248976919
"172",-0.991177541424139,0.959717261197063,-0.118010432420068,-0.131146178300323,0.6543726183423,-0.567273724496905,-1.01405990181722,0.523666626671189
"178",-0.838874323913275,1.10549709834092,-0.391052727733287,-0.352524193239989,-1.00564681473784,-0.317656793914889,-0.843290670153717,0.119004590074963
"192",-0.660293438592437,-0.534526069527478,-0.726589031339379,-0.688679295851199,1.70031592513236,0.980397016471105,1.40034689048732,-0.123792631882773
"199",0.0239984823366591,-0.7167508659573,-0.56029418229118,-0.540633105114403,1.21082818973726,1.13481892435685,1.04144206461828,-1.1449185369958
"206",0.980183823258742,-0.826085743815194,-0.612720285954874,-0.58281371329659,0.52100566932178,0.599854428551432,1.00986609062004,-1.19042375728135
"213",1.20381213911096,-0.698528386314318,-0.72492787995421,-0.679344594632582,-0.410294779791323,0.208553954135411,-0.0606787581892701,-1.14664050310898
"220",0.836997347641134,-0.844308223458176,-0.746562897335614,-0.70404327060987,-0.365121398793131,1.50064494768728,1.43170282285491,0.00965974188832376
"227",1.12980564609512,-0.516303589884496,-0.718018719345247,-0.678683904155449,-0.363916931258451,0.774639080373557,0.686396430425242,-1.09153758748736
"245",NA,NA,-0.102131526329979,-0.0300065772528387,-1.50901090299917,-0.346335999171781,-0.375685278743687,0.0372111996991302
"251",1.26280282194968,-0.826085743815194,-0.118567482283121,-0.0892919562031942,-1.56767677493201,-0.183973073914406,-0.13754099240316,0.119865573131551
