"doy","Aphanizomenon","Asterionella","Coelastrum","Cosmarium","Cryptomonas","Elakatothrix","Eudorina","Fragilaria","Microcystis","Oocystis","Pediastrum","Pseudanabaena","Staurastrum","Stephanodiscus","Trachelomonas","Unknown centric bacillariophyte","Woronichinia","Chalmydomonas","Microcystis_Single","Schroederia","Unknown centric chlorophyte","Aphanocapsa","Dolichospermum","Aphanothece","Desmodesmus","Snowella","Merismopedia","Monoraphidium","Unknwon pennate bacillariophyte","Mallomonas","Komma","Planktolyngbya","Euglena"
143,1.83193594,0.32759564,0.377102519,0.80404067,0.423866418,0.025787645,6.724306049,83.55942299,8.633976542,0.089683111,25.00115748,0.003275633,0.151755232,41.89699681,0.029779284,0.014889642,0.849701618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0.595475595,0,0.177719028,0,0,0,0,0,0,0.144772159,0,0.012067034,0,6.054418867,0,0,0,0.029237843,1.346530519,0.042115056,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0.241417137,0,0,0,0.457622417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.475156168,0,0,0,0,0,0,0,0,0,0,0,0
172,0.06963596,0,0,0,0,0,0,0,44.77004325,0,0,0.005958567,0,0,0,0,0,0.052299191,0,0,0,0.067978733,3.167261924,0,0,0,0,0,0,0,0,0,0
178,0.009648488,0,0,0,0,0,0,0,0.815052276,0.019855643,0,0.001809092,0,0,0,0,0,0.052645128,0.704088171,0,0,0,0.342664427,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,269.2295438,0,0,0.006412434,0,0,0,0,0,0,0,0,0,0.019629899,0,1.403015144,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0.167905569,0,0,0,106.7808341,0,0,0.020727701,0,0,0,0,0,0,0,0,0,0.148635852,0,7.199153146,0.007233127,0.087719149,0,0,0,0,0,0,0
206,0,0,0,0,0.160808134,0,0,0,57.07862402,0,0,0.0077891,0,0.765330509,0,0,0,0,0,0,0,0,0,15.89098996,0.004729651,0.439020102,0.006140373,0.00392598,2.123153728,0,0,0,0
213,0,0,0,0,0,0,0,0,315.8591298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.769094139,0,1.718579244,0.003366528,0,0,1.58002367,0,0,0
220,0,0,0,0,0,0,0,0,11.96219193,0.081974459,0,0,0,0,0,0,0,0,0,0,0,0.297607368,0,38.45670344,0.03107229,1.868193502,0.02197633,0,0,0,0,0,0
227,0,0,0,0,0.083157488,0,0,0,4.125815304,0,0,0.004616952,0,0,0,0,0,0.027869222,0,0,0,0,0,0.167508473,0,0.046002014,0.005897209,0,0,0,0.040202033,0.267155174,0
245,0,0,0,0,0,0,0,0,17.34609129,0,0,0.087226896,0,0,0,0,0,0.067320739,0,0.031407839,0,0.957450513,0,0,0,0.386375305,0.000157039,0,0,0,0,0,0.080757405
251,0,0,0,0,0,0,0,0,12.0810424,0,0,0.027719163,0,4.046512033,0,0,0,0.009459302,0,0,0,0.750941579,0,0,0,0.181823673,7.3901e-05,0,0,0,0,0,0
